Law  Category,      Legal Domain,              Act No,              Year,                                                     Act Name,                                                                                                                                       Description
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Once the court has completed its inquiry and determined that the aggrieved person requires legal protection, it will issue a Protection Order. This decision is made in accordance with Section 8, which outlines the criteria for issuing such an order. The court considers factors such as the history of domestic violence, the severity of harm, and the likelihood of future harm to the aggrieved person before granting the order."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the respondent appears in court on the specified date and does not deny the alleged acts of violence but also does not object to the issuance of a Protection Order, the court will issue the order without further proceedings. The court will still consider Section 8 to ensure that the order is necessary for the protection of the aggrieved person."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the respondent fails to appear in court on the date specified in the notice issued under Section 4(3), and the court is satisfied that the respondent was properly served with the notice, the court will proceed with the case in their absence. The court will review previously submitted evidence and may also accept additional affidavits or oral testimony from the aggrieved person and other witnesses. This ensures that justice is not delayed due to the respondents absence.'"
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"After reviewing all available evidence, including affidavits and oral statements, if the court determines that the issuance of a Protection Order is necessary to safeguard the aggrieved person, it will issue such an order in accordance with Section 8. The order will specify restrictions on the respondent’s actions to prevent further harm to the victim."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"When deciding whether to issue a Protection Order, the court must take into account the need to prevent further acts of domestic violence and ensure the safety and well-being of the aggrieved person. The court will examine past incidents of violence, the potential risk of future harm, and any psychological, emotional, or economic impact on the victim. The ultimate objective is to provide the necessary legal protection to prevent further abuse."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Once a Protection Order is issued, the court must ensure that it is effectively communicated to all relevant parties. The order will be formally served to the respondent, and certified copies will be provided to the aggrieved person, the applicant (if different from the victim), and the police officers in charge of the jurisdictions where both the respondent and the victim reside. This ensures proper enforcement and compliance with the order"
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"A Protection Order explicitly prohibits the respondent from engaging in any act of domestic violence against the aggrieved person. In addition to this primary restriction, the court may impose additional prohibitions under Section 11 to further protect the victim from harassment, intimidation, or harm. These prohibitions are tailored to the specific circumstances of each case."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"A Protection Order remains valid for a maximum period of 12 months unless otherwise specified by the court. The court may review the order and extend its duration if necessary, based on the circumstances of the case and ongoing risks to the victim. The respondent is required to comply with the order throughout its duration, and any violation can result in legal consequences"
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"A Protection Order may include additional prohibitions to prevent further abuse. These may include restrictions on the respondent from entering the victim’s residence, workplace, or school, or from contacting the victim directly or indirectly. The order may also restrict the respondent’s access to shared property, resources, or children involved in the case. These measures are imposed based on the victim’s safety and well-being."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"When determining the scope of the restrictions in a Protection Order, the court will balance the need to protect the aggrieved person with any potential hardship that may arise for the respondent. Consideration will be given to factors such as the need for accommodation, financial dependence, and the welfare of children. However, the primary concern remains the safety and security of the victim."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the court determines that immediate protective measures are necessary, it may issue supplementary orders. These may include directing the police to seize any weapons in the respondent’s possession, arranging police assistance for the victim to retrieve personal belongings, or mandating the respondent to attend rehabilitation or counseling programs. These orders aim to enhance the victim’s safety and provide additional support"
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The court may order the respondent to provide urgent financial assistance to the aggrieved person if the respondent has a legal obligation to support them. This ensures that the victim is not left financially vulnerable due to the separation. However, such an order will be made only after the court conducts an inquiry into the financial capabilities of both parties to ensure fairness."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the respondent fails to comply with a financial support order, the court has the authority to direct the respondent’s employer to deduct a portion of their salary and transfer it directly to the aggrieved person. This enforcement mechanism ensures that the victim receives the necessary financial support despite the respondent’s non-compliance."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The court may issue an order under this Act with the consent of both parties involved in the proceedings, without requiring proof or an admission of guilt from the respondent. This ensures that protection can be granted swiftly without unnecessary delays. However, such an order shall not be considered an acknowledgment or proof of guilt, nor shall it be used against the respondent in future legal proceedings."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"A Protection Order issued under this Act may be altered, modified, varied, extended, or revoked upon an application made by either the aggrieved person or the respondent. However, the court must be satisfied that there has been a significant change in circumstances to justify such a modification. The order cannot be changed without hearing from both the aggrieved person and the respondent to ensure fairness in the proceedings."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The court shall not alter, modify, or revoke a Protection Order based on the aggrieved person’s application unless it is satisfied that the application has been made freely and voluntarily. This provision prevents undue influence or coercion from affecting the aggrieved persons decision to seek modifications in legal protections."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The Code of Criminal Procedure Act, No. 15 of 1979 (Chapters V and VI) shall apply in cases where the respondent or witnesses are required to appear before the court. This allows the court to issue summons or warrants to compel attendance and request the production of any necessary documents as evidence in the case."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"In any legal proceedings under this Act, a spouse is a competent witness against the other spouse. This means that a husband or wife can testify in court in cases involving domestic violence, even if such testimony might be unfavorable to their spouse."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Any person dissatisfied with an order made by a Magistrate’s Court under Section 6 or Section 7 has the right to appeal to the High Court under Article 154P of the Constitution. The appeal process follows the procedure outlined in Sections 320 to 330, 357, and 358 of the Code of Criminal Procedure Act, No. 15 of 1979."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"An appeal does not automatically suspend the Protection Order unless the High Court specifically orders a stay of execution. The Magistrate’s Court is required to retain a copy of the order for enforcement purposes, even while the appeal is pending."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If a respondent violates a Protection Order or an Interim Order, they will be guilty of an offense and liable for punishment. Upon conviction, they may face a fine not exceeding 10,000 rupees, imprisonment for up to one year, or both. This provision ensures strict enforcement of court orders and discourages violations."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The court has the discretion to adopt a suitable procedure for framing charges, rather than strictly following standard procedures outlined in the Code of Criminal Procedure Act, No. 15 of 1979. This flexibility allows the court to handle domestic violence cases efficiently and in a manner that prioritizes the safety of the aggrieved person."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Any person who prints or publishes:(a) The name or any information that can reveal the identity of the applicant or respondent in a domestic violence case.(b) Any information related to the case, except for judgments from the Supreme Court or Court of Appeal,				
will be punished with imprisonment up to two years, a fine, or both. This ensures the confidentiality of domestic violence victims and prevents media exploitation of sensitive cases."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"This Act does not prevent an aggrieved person from pursuing separate civil or criminal proceedings against the respondent. This means that even if a Protection Order is issued, the victim may still file additional legal actions, such as divorce, child custody claims, or criminal charges for physical assault."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"In the event of any inconsistency between the Sinhala and Tamil versions of this Act, the Sinhala text shall prevail. This ensures a uniform interpretation of the law in Sri Lanka."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"An Act to amend the Marriage Registration Ordinance (Chapter 112) in Sri Lanka to introduce new qualifications and disqualifications for marriage registrars, ensuring their impartiality and efficiency."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"This Act may be cited as the Marriage Registration (Amendment) Act, No. 38 of 2006, and it officially came into effect following certification on November 6, 2006."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),Section 6 of the Marriage Registration Ordinance has been revised to introduce new conditions regarding the appointment and disqualification of marriage registrars. The section has been renumbered and supplemented with additional subsections.
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"A person is disqualified from being appointed or continuing as a Marriage Registrar if they:
(a) Become a Member of Parliament.				
(b) Become a Member of a Provincial Council.				
(c) Become a Member of a Local Authority.				
(d) Hold a paid government office under the Republic.				
(e) Engage in any profession that could conflict with the duties of a registrar."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"If a registrar is found to be disqualified based on the new amendments, the Registrar-General has the authority to remove them from office with the approval of the Minister. The removal will be published in the Government Gazette, specifying the date it takes effect."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"In the event of a vacancy arising due to resignation or removal, a new registrar shall be appointed, ensuring compliance with the eligibility requirements outlined in the Act."
Civil Law,Family Law,Act No. 38,2006,Marriage Registration (Amendment),"In case of any inconsistency between the Sinhala and Tamil versions of the Act, the Sinhala text shall be considered authoritative and will take precedence."
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),An Act to amend the Marriage Registration Ordinance in Sri Lanka to introduce changes to the procedure of recording marriages and the responsibilities of the Minister in charge of marriage registration.
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),"This Act is officially cited as the Marriage Registration (Amendment) Act, No. 11 of 2001, and was certified on September 25, 2001."
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),Section 34 of the Marriage Registration Ordinance is amended by repealing subsection (2) and replacing it with a new provision regarding the entry of marriage particulars.
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),"The new provision requires the Minister to record the particulars of a marriage in triplicate in a dedicated book, using Form L in the First Schedule. These entries will be numbered consecutively."
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),"After the solemnization of the marriage, the Minister is to issue the third copy of the statement of marriage particulars to the parties involved, free of charge. This third copy will serve as prima facie evidence of the solemnization of the marriage."
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),"The new amendment specifies that the marriage must be solemnized according to the rules, customs, rites, and ceremonies of the church, denomination, or body to which the Minister belongs."
Civil Law,Family Law,Act No. 11 ,2006,Marriage Registration (Amendment),"In case of any inconsistency between the Sinhala and Tamil texts of the Act, the Sinhala text shall prevail and be considered the authoritative version."
Civil Law,Family Law,Act No. 54,1998,Maintance claims(Reciprocal Enforcement),"The Family Law Act governs the legal processes concerning family matters. It includes regulations on marriage, divorce, child custody, visitation rights, spousal support, and property division. This law is designed to protect the rights of family members, ensure fair treatment in family disputes, and provide a legal framework for resolving family-related issues."
Civil Law,Family Law,Act No. 54,1998,Maintance claims(Reciprocal Enforcement),"The Civil Protection Act focuses on providing legal mechanisms for individuals facing threats or harm from others, particularly in situations involving domestic violence or stalking. It outlines the process for applying for civil protection orders (such as restraining orders) and the legal steps required for the protection of vulnerable individuals from harassment or physical harm."
Civil Law,Family Law,Act No. 54,1998,Maintance claims(Reciprocal Enforcement),"The Marriage Act defines the legal aspects of marriage, including the prerequisites for a valid marriage, the rights and obligations of spouses, and the legal procedures to be followed. This law governs both religious and civil marriages, and it outlines the grounds for annulment, divorce, and the legal recognition of marriages."
Civil Law,Family Law,Act No. 54,1998,Maintance claims(Reciprocal Enforcement),"The Child Custody Act lays out the legal framework for determining the custody of children following the separation or divorce of parents. The act focuses on the best interests of the child, taking into consideration factors like the childs age, the relationship with each parent, and the child’s emotional and physical needs. It also includes provisions for visitation rights and parental responsibilities."
Civil Law,Family Law,Act No. 54,1998,Maintance claims(Reciprocal Enforcement),"The Domestic Violence Act provides a legal structure for addressing incidents of domestic violence, including physical, emotional, and psychological abuse within a household. The act allows victims to seek legal remedies such as protection orders, emergency housing, and support services. It is aimed at reducing the prevalence of domestic violence and providing a safer environment for victims."
Civil Law,Family Law,Act No. 24,2013,Muslim Marriage and Divorce (Amendment),"Short Title and Date of Operation,This Act is officially titled the Muslim Marriage and Divorce (Amendment) Act, No. 24 of 2013. It specifies that the amendments and provisions stated in the Act are deemed to have come into effect retroactively, starting from January 1, 2013. This means that any actions or decisions taken under the amended sections from that date onward are legally valid and enforceable."
Civil Law,Family Law,Act No. 24,2013,Muslim Marriage and Divorce (Amendment),"Amendment of Section 18 of the Principal Act,Section 18 of the original Muslim Marriage and Divorce Act (Chapter 115) is amended by removing subsection (3) and replacing it with a new provision. The amendment clarifies that the prescribed fee for marriage registration must be paid by the bridegroom. Previously, the law did not explicitly state who was responsible for this fee, which could have led to confusion or disputes. This amendment establishes legal clarity and ensures that the financial responsibility for registration is placed on the groom."
Civil Law,Family Law,Act No. 24,2013,Muslim Marriage and Divorce (Amendment),"Amendment of Section 94 of the Principal Act,Section 94 of the original Act is modified by changing the wording in paragraph (h) of subsection (1). The previous text referred to a ""stamp fee"" that was required for obtaining a certified copy of marriage or divorce records. This amendment replaces the term ""stamp fee"" with ""fee"", ensuring that the law is updated to reflect modern fee structures and removes any ambiguity regarding the nature of the payment required for certified copies."
Civil Law,Family Law,Act No. 24,2013,Muslim Marriage and Divorce (Amendment),"Validation of Fees Collected,This provision ensures that any fees charged or collected by the Registrar-General or any authorized person under this Act between January 1, 2013, and the certification date of this Act (May 8, 2013) are deemed to have been legally valid. The validation applies to all fees that were collected for marriage or divorce registration and any other services under the Act. However, it also includes a safeguard: if a court has already ruled on a fee-related dispute or if there is an ongoing court case concerning such fees, this amendment does not override or interfere with those judicial decisions. This ensures that individuals who have already sought legal remedies are not unfairly affected."
Civil Law,Family Law,Act No. 24,2013,Muslim Marriage and Divorce (Amendment),"Sinhala Text to Prevail in Case of Inconsistency,In the event of a discrepancy or inconsistency between the Sinhala and Tamil versions of this Act, the Sinhala text will take precedence as the legally binding version. This clause is included to prevent legal disputes that may arise due to translation differences between the two official languages of Sri Lanka."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Issuance of Certificate of Death upon Registration,Once the Registrar-General issues an order under the Births and Deaths Registration Act, the Registrar is directed to formally enter the death into the official Register of Deaths. After doing so, the Registrar must sign the register at the appropriate section and issue a Certificate of Death. This ensures a proper legal record is created for the deceased."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Submission of Records to the Registrar-General,After the Registrar completes the death registration, the duplicate of the registration entry must be attached to the written order issued by the Registrar-General. This duplicate, along with the order, must be sent to the District Registrar, who will then transmit it to the Registrar-General’s office for custodial safekeeping. This ensures all records are securely stored for future reference."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Appeal Against Refusal to Issue Certificate,If an applicant is dissatisfied with a decision made by the District Registrar refusing to issue a Certificate of Death, or if a person who had previously objected to the registration under Section 5 is unhappy with the decision to issue a Certificate, they have the right to appeal. Such appeals must be submitted to the Registrar-General within one month of the decision notification. The Registrar-General will review all submitted materials and has the authority to either: (1) uphold the decision of the District Registrar, (2) instruct the District Registrar to issue the Certificate of Death, or (3) reject the original registration report from the District Registrar."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Registration of Deaths Based on Commission of Inquiry Findings,If a Commission appointed under the Commissions of Inquiry Act (Chapter 393) or a Special Presidential Commission of Inquiry under the Special Presidential Commissions Law, No. 7 of 1978 confirms that a person is missing or has disappeared, the next of kin of the missing person may apply to register their death. The application must be submitted to either the Registrar-General or the District Registrar of the district where the missing person last resided. This ensures that official findings by recognized Commissions of Inquiry can lead to legal recognition of a person’s death."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Documents Required for Death Registration Based on Inquiry Findings,Any application based on a Commission of Inquiry finding must include: (1) a completed application form (as per the format in the Act’s Schedule), (2) an Affidavit from the applicant (confirming belief in the missing person’s death), and (3) a certified copy of the findings from the Commission of Inquiry or Special Presidential Commission of Inquiry. These requirements ensure authenticity and prevent fraudulent applications."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Processing of Applications Based on Inquiry Findings,Once an application is received, the District Registrar must immediately prepare a report, outlining all necessary death particulars required for registration under the Births and Deaths Registration Act. This report is based on the application, affidavit, and Commission findings. It is then sent to the Registrar-General for further processing."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Registrar-Generals Authority to Order Death Registration,Upon reviewing the District Registrar’s report, the Registrar-General has the power to issue an order directing the relevant Registrar to enter the death into the Register of Deaths. Once the order is received, the Registrar must immediately update the Register and issue the Certificate of Death. This ensures efficient and formal recognition of the missing person’s death."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Special Provisions for Natural Disasters or Calamities,If a natural disaster or calamity occurs in Sri Lanka, causing widespread destruction and death, the Registrar-General has the authority to declare affected areas as “National Disaster Areas”. This designation acknowledges the difficulty of registering deaths through normal procedures due to the scale of the disaster and allows for special registration provisions."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Eligibility for Death Registration in National Disaster Areas,If a person was either (a) living in a declared National Disaster Area, or (b) known to have been in the area at the time of the disaster and has not been seen since, their next of kin may apply to register their death. If no family members have survived, any person with knowledge of the deceased may file an application. The applicant must genuinely believe the missing person is dead."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Submission Process for Disaster-Related Deaths,Applications for registering deaths due to natural disasters must be submitted to the Grama Niladhari (village officer) of the area where the missing person last resided. The Grama Niladhari will review the application, conduct any necessary inquiries, and forward the request with a certification report confirming the accuracy of the details provided.'"
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Required Information for Disaster-Related Death Applications,While there is no mandatory format, applications should include as much information as possible about the missing person, such as (1) full name, (2) age, (3) last known residence, (4) physical description, and (5) circumstances of disappearance. An Affidavit must accompany the application. This ensures sufficient information is provided for verification purposes."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Preamble	This Act was introduced to address the challenges in registering the deaths of persons reported missing due to terrorist or subversive activities, civil commotion, or natural disasters of national proportions. It acknowledges the difficulties under the Births and Deaths Registration Act in formally recognizing such deaths and aims to establish a clear legal framework for registration."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Short Title, Duration, and Extension of Operation	The Act is officially titled Registration of Deaths (Temporary Provisions) Act, No. 19 of 2010. It is valid for an initial period of three years from its commencement date. However, the Minister has the power to extend its validity for additional periods of up to two years per extension, through an Order published in the Gazette. This ensures flexibility in case the law needs to remain in force due to ongoing national crises."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Registration of Deaths of Persons Missing Due to Terrorist or Subversive Activity or Civil Commotion	This section outlines the procedure for registering the death of a person reported missing for over a year due to terrorist or subversive activities or civil unrest in Sri Lanka. The next of kin, who firmly believes the person is deceased, can apply to the Registrar-General or the District Registrar for an official death certificate. This provision provides legal recognition to cases where bodies are not recovered, enabling families to move forward with administrative and legal matters."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Who May Apply and Application Procedure	The application to register the missing persons death must be submitted by the next of kin who believes the individual is deceased. The application should be in the prescribed format and sent to either the Registrar-General or the District Registrar of the district where the missing person was last known to reside. This process ensures that only close family members can request the registration to prevent fraudulent claims."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Additional Materials Required for Registration	Every application must be supported by an Affidavit from the applicant, explaining why they believe the person is deceased. Additionally, a report from the Grama Niladhari (village officer) must confirm that the person has not been seen or heard from for more than a year. Any further evidence, such as police reports or witness statements, can also be submitted to strengthen the application."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Display of Application	Upon receiving an application, the Registrar-General or the District Registrar must publicly display the application for two weeks at both the Registrar’s office and the Grama Niladhari’s office in the area of the missing person’s last known residence. This is intended to provide an opportunity for any interested party to raise objections before the death is officially registered."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Objection to Registration	Any person who believes the missing person is still alive or has other reasons to oppose the registration of the death can submit their objections within one month of the public notice. These objections must be submitted in writing and supported by an Affidavit from the objector and any additional supporting evidence. This ensures fairness by allowing due process before confirming a person’s legal death."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Inquiry and Decision on Application	After the one-month objection period, the Registrar-General or the District Registrar will review all submitted applications and objections. If no valid objections exist, or if the evidence overwhelmingly supports the claim, the application is approved. If the case was handled by the District Registrar, they will submit a final report to the Registrar-General, detailing the findings and confirming the missing person’s death."
Civil Law,Family Law,Act No. 19,2010,Registration of Deaths (Temporary Provisions),"Final Registration of Death	If the Registrar-General is satisfied with the evidence and findings, he will issue an order directing the appropriate Registrar to formally enter the death into the official Register of Deaths. However, if the Registrar-General has concerns or finds contradictory evidence, he has the authority to disallow the application. This ensures that only genuine cases are processed while preventing fraudulent claims."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"This section establishes that a married woman has full legal capacity to own, manage, and dispose of property in her name, just as if she were unmarried. She can buy, sell, and transfer property without her husband’s consent."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"A married woman has the legal right to enter into contracts, sign agreements, and engage in financial transactions independently. If she enters into a contract, she is fully responsible for fulfilling its terms, and legal action can be taken against her for any breach."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"This section states that a married woman is personally responsible for any debts or liabilities she incurs both before and after marriage. Creditors cannot hold her husband accountable for her debts, reinforcing financial independence.'"
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"If a married woman engages in business, any earnings, profits, or investments generated from the business belong solely to her. These earnings are considered her separate property and are protected from her husband’s debts or financial obligations."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"any property acquired by a married woman through inheritance, gifts, or personal purchases is legally recognized as her own. Her husband has no legal claim over such property unless explicitly agreed upon in legal documentation."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,A married woman has the right to sue or be sued in matters concerning her property. She can initiate or defend legal proceedings in court without her husband’s involvement. This ensures her ability to enforce property rights legally.
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"This section allows a husband and wife to enter legally binding agreements regarding property, finances, and other assets. Any such agreement is enforceable in court, ensuring that financial dealings between spouses are legally recognized. "
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"A husband or wife can take legal action against the other if they commit a wrongful act (tort) that causes harm. This includes financial harm, property damage, or personal injury, reinforcing the idea that spouses are legally accountable to each other."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"If a married woman lends money or provides financial assistance to her husband, she has the legal right to recover it. This means she can sue her husband for repayment, ensuring financial fairness in the marriage."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"This section protects a married woman’s property from being seized or used to settle her husband’s debts. Creditors cannot claim her assets for her husbands financial obligations, ensuring her financial security.'),A married woman is legally responsible for the maintenance, upkeep, and obligations related to her property, including taxes, repairs, and legal duties. She has the autonomy to manage her assets as she sees fit."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"Courts have the authority to resolve disputes related to a married woman’s property. If any conflict arises regarding ownership, contracts, or financial matters, legal proceedings can be initiated for resolution."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"This section addresses investments in the joint names of a married woman and others. It states that all provisions relating to deposits, stocks, shares, debentures, and other interests in her sole name or later transferred to her name will apply similarly in joint names with anyone other than her husband."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,This section specifies that it is not necessary for the husband of a married woman to join in the transfer of any such investments that are in her sole name or in joint names with any other person except her husband.
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,This section allows the court to order the transfer of investments or dividends made by a married woman using her husbands money without his consent. It also allows creditors to challenge fraudulent investments made with the husbands money. Any gift from the husband to the wife that remains under his control is not valid against his creditors.
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,A married woman may effect an insurance policy on her own life or her husbands life for her separate use. The policy and all its benefits shall ensure for her benefit.
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"A policy of assurance effected by either spouse, with beneficiaries named as their spouse or children, creates a trust. The moneys payable under such policy shall not be part of the insureds estate or subject to debts, unless the policy was intended to defraud creditors."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,The insured may appoint trustees for the moneys payable under the policy and may appoint new trustees or provide for their future appointment
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"If no trustee is appointed, the policy vests in the insured and their executor or administrator for the intended purposes."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"In the event of the insureds death, or if no trustee exists, a trustee may be appointed by the court under the Trusts Ordinance."
Civil Law,Family Law,Act No. 18,1923,Married Womens Property Ordinance,"A trustees or executors receipt shall discharge the insurance office from liability for the sum secured by the policy, either wholly or partially."
